scenario,alpha,beta,replica,seed,extinct,pop_final,n_steps_alive,reproduction_events,movement_frequency,avg_harvested_food
S2,0.0,0.25,38,3000038,1,0,27,192,0.0,1.203955781984039
S2,0.0,0.25,39,3000039,1,0,42,204,0.0,1.2237094495615926
S2,0.0,0.25,40,3000040,1,0,33,174,0.0,1.224503292690971
S2,0.0,0.25,41,3000041,1,0,31,192,0.0,1.2140073504886975
S2,0.0,0.25,42,3000042,1,0,21,177,0.0,1.2178834753946743
S2,0.0,0.25,43,3000043,1,0,32,190,0.0,1.2122268664184315
S2,0.0,0.25,44,3000044,1,0,22,181,0.0,1.2131903484999838
S2,0.0,0.25,45,3000045,1,0,54,180,0.0,1.2050865151310868
S2,0.0,0.25,46,3000046,1,0,39,182,0.0,1.202184469043602
S2,0.0,0.25,47,3000047,1,0,99,318,0.0,1.275819490124832
S2,0.0,0.25,48,3000048,1,0,26,199,0.0,1.1987155791760187
S2,0.0,0.25,49,3000049,1,0,50,158,0.0,1.1842741034445619
S2,0.0,0.25,50,3000050,1,0,55,221,0.0,1.233457230742555
S2,0.0,0.25,51,3000051,1,0,33,212,0.0,1.2452722316733702
S2,0.0,0.25,52,3000052,1,0,19,177,0.0,1.1843155766606663
S2,0.0,0.25,53,3000053,1,0,44,206,0.0,1.2209860010266662
S2,0.0,0.25,54,3000054,1,0,27,190,0.0,1.2155621113045774
S2,0.0,0.25,55,3000055,1,0,76,253,0.0,1.2528166995985042
S2,0.0,0.25,56,3000056,1,0,27,187,0.0,1.2285447379358776
S2,0.0,0.25,57,3000057,1,0,24,233,0.0,1.251007826753537
S2,0.0,0.25,58,3000058,1,0,35,179,0.0,1.2180874033792484
S2,0.0,0.25,59,3000059,1,0,30,221,0.0,1.2085054495349679
S2,0.0,0.25,60,3000060,1,0,26,203,0.0,1.227449639821255
S2,0.0,0.25,61,3000061,1,0,29,149,0.0,1.1758266509128263
S2,0.0,0.25,62,3000062,1,0,51,239,0.0,1.2681104620948587
