regen,metab,survival_probability,mean_final_population,std_final_population,mean_births,std_births,has_reproduction
0.814,2.677,0.344,27.134,41.23847771196216,35242.638,20593.348304220857,1
0.978,0.799,1.0,225.0,0.0,175.0,0.0,1
0.764,0.991,1.0,176.142,10.91832569581985,58450.542,2975.01339362296,1
0.918,3.065,0.0,0.0,0.0,219.242,18.531795271910383,1
1.162,0.504,1.0,225.0,0.0,175.0,0.0,1
0.0,3.042,0.0,0.0,0.0,110.39,13.872487159842679,1
0.598,0.655,1.0,205.92,5.409029487810175,30377.144,1926.5345185757767,1
1.064,2.874,0.642,60.14,50.78756146932042,58870.322,21560.302513051993,1
0.984,1.317,1.0,171.52,11.477700118055012,62870.344,3164.3943145038043,1
1.498,0.222,1.0,225.0,0.0,175.0,0.0,1
0.635,1.216,1.0,129.328,17.13313794959931,84132.912,4420.383416883201,1
0.969,0.216,1.0,225.0,0.0,175.0,0.0,1
1.14,0.79,1.0,225.0,0.0,175.0,0.0,1
0.938,1.425,1.0,153.604,13.659691943817768,63394.562,2662.8469700972305,1
1.216,0.493,1.0,225.0,0.0,175.0,0.0,1
1.354,0.766,1.0,225.0,0.0,175.0,0.0,1
0.662,2.899,0.008,0.312,5.297797278114745,9093.15,8774.153034652403,1
1.277,0.483,1.0,225.0,0.0,175.0,0.0,1
0.623,2.334,0.692,48.538,38.401309300595464,44677.528,15018.539469243206,1
0.319,1.277,0.97,64.172,23.598695218168313,45241.448,5432.495451566987,1
1.384,1.01,1.0,225.0,0.0,175.0,0.0,1
0.701,1.225,1.0,136.98,15.653357467329492,72363.958,3842.538312656882,1
0.051,3.048,0.0,0.0,0.0,114.134,13.690144045991627,1
1.324,2.858,0.852,92.576,49.780801761321605,61630.566,12978.863665577353,1
0.51,1.885,0.944,66.218,26.441605019362953,50726.568,5973.875184951223,1
0.524,0.932,1.0,136.2,16.451139778143034,73445.992,4251.539169281638,1
0.204,1.791,0.018,0.32,3.261533381708672,1355.628,3122.274869004329,1
1.099,2.134,1.0,127.222,19.22905915535131,93300.05,2763.8307002238757,1
1.489,0.397,1.0,225.0,0.0,175.0,0.0,1
1.206,2.673,0.996,110.36,28.51242536158578,73532.614,2050.021977688044,1
0.222,0.953,0.922,55.608,25.289806958535685,39370.296,7174.65302801355,1
0.924,0.277,1.0,225.0,0.0,175.0,0.0,1
0.54,2.493,0.194,10.734,24.17600554268633,21301.578,14516.340427391333,1
0.331,1.068,1.0,77.588,19.77094474222211,50167.26,3864.39793401249,1
0.165,2.551,0.0,0.0,0.0,229.868,245.99477753806076,1
0.596,1.533,1.0,95.404,19.790320462286605,59278.944,3572.6277702643465,1
0.371,1.675,0.712,40.752,31.43778770842503,35250.99,11576.006407647674,1
0.677,0.961,1.0,163.302,12.132880779106008,60936.116,2434.263798881296,1
0.251,1.702,0.194,7.196,16.826930320174267,11207.396,10210.435012436248,1
0.639,1.017,1.0,147.056,14.02386765482333,63706.538,2780.9963596804655,1
0.942,0.215,1.0,225.0,0.0,175.0,0.0,1
1.341,1.59,1.0,191.364,8.752342772081084,47384.116,2307.983700666883,1
0.82,2.686,0.378,30.056,41.98548396767626,37609.81,20405.831831853855,1
0.427,2.998,0.002,0.002,0.044676615807377355,2255.728,2779.5236775418916,1
1.375,1.653,1.0,189.17,9.04373263647262,50270.048,2519.973839089604,1
0.053,0.531,0.07,1.622,7.3753044682914615,6117.818,3946.237279342944,1
0.851,0.627,1.0,225.0,0.0,175.0,0.0,1
0.806,2.25,1.0,90.396,24.271942320300617,66644.126,2448.5951372417617,1
0.649,2.752,0.032,2.302,13.54129964220569,14069.518,11979.010252340384,1
0.971,0.212,1.0,225.0,0.0,175.0,0.0,1
0.061,1.648,0.0,0.0,0.0,257.204,16.35464411107744,1
0.766,2.371,0.888,74.422,36.094264308889855,60827.59,10599.981367431737,1
0.926,1.314,1.0,164.0,12.570759722467056,61856.322,2590.2815287755884,1
1.091,2.113,1.0,128.794,17.77581401792897,92515.872,2939.3954602291947,1
1.279,2.969,0.366,36.298,51.35991818529309,43637.336,24117.027530504336,1
1.169,1.669,1.0,162.432,13.291251859776038,65480.278,2664.1959253620967,1
1.189,0.829,1.0,225.0,0.0,175.0,0.0,1
0.972,2.675,0.768,71.228,46.31410169699937,62865.78,17194.893291079185,1
0.992,1.235,1.0,182.926,9.633302860390096,52372.406,2587.6017168729813,1
0.604,0.466,1.0,225.0,0.0,175.0,0.0,1
1.047,2.516,0.996,104.718,27.242732535485494,70333.432,3194.7963887196315,1
0.041,0.196,0.846,45.21,26.398141980071248,34886.986,7725.602203699334,1
1.076,2.247,1.0,121.406,21.355869544460134,85205.318,2320.1441120921777,1
0.713,3.002,0.0,0.0,0.0,273.268,15.529203971871837,1
0.579,0.846,1.0,158.36,12.24607692283533,61342.156,2403.152170725774,1
1.14,1.681,1.0,157.728,14.125226228276842,66038.358,2554.9735305548666,1
0.448,2.925,0.008,0.082,1.6147061652201617,3474.896,4543.7317549767395,1
0.048,0.555,0.068,0.992,5.027915671528312,3906.328,2512.096128020582,1
0.663,1.055,1.0,148.5,14.689928522630735,63914.99,2771.798476422844,1
1.314,1.662,1.0,180.504,10.580830969257565,58622.208,3007.2858521823296,1
0.565,0.412,1.0,225.0,0.0,175.0,0.0,1
1.1,1.916,1.0,139.38,17.621112337193697,82916.83,4187.812128677694,1
0.698,1.405,1.0,123.562,18.973617367281335,87930.938,3648.6386938358255,1
0.533,2.962,0.002,0.128,2.8593034116721507,4439.66,5177.692426979416,1
1.193,1.576,1.0,174.376,11.541863974246102,65555.21,3290.3147925236576,1
0.504,3.088,0.0,0.0,0.0,153.934,16.527481477829582,1
0.81,2.895,0.006,0.344,4.746963661120655,10964.21,9332.326050771051,1
0.147,2.93,0.0,0.0,0.0,153.266,29.34974010106393,1
1.0,0.676,1.0,225.0,0.0,175.0,0.0,1
0.025,0.777,0.0,0.0,0.0,391.138,16.344386069840617,1
0.702,1.978,1.0,92.216,21.544589668870465,65348.064,3023.9767274078017,1
0.789,1.439,1.0,132.284,17.429840618892648,79052.872,4392.396294463421,1
1.363,0.586,1.0,225.0,0.0,175.0,0.0,1
1.052,2.223,1.0,118.342,22.133346696783114,82564.086,2435.754997245002,1
0.174,2.958,0.002,0.004,0.08935323161475471,172.916,114.20632619955866,1
1.321,1.274,1.0,225.0,0.0,175.0,0.0,1
