fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
4,18,1.104390,0.157595,0.946795,0.947194,0.523370,1.167153,0.257654,0.909499,0.933801,0.495504
4,19,1.104148,0.157500,0.946647,0.946769,0.525934,1.161572,0.256967,0.904605,0.932060,0.531386
4,20,1.100847,0.154332,0.946515,0.948205,0.524205,1.166747,0.261596,0.905151,0.931432,0.530273
4,21,1.099134,0.152776,0.946357,0.947824,0.527897,1.155092,0.249068,0.906023,0.936685,0.520967
4,22,1.099065,0.152962,0.946103,0.946769,0.527077,1.153097,0.251709,0.901388,0.933944,0.566641
4,23,1.096138,0.149815,0.946323,0.948366,0.530022,1.163711,0.255469,0.908243,0.930433,0.508007
4,24,1.094152,0.147962,0.946190,0.948615,0.527663,1.154046,0.246978,0.907068,0.933145,0.512603
4,25,1.093166,0.147275,0.945892,0.948190,0.528674,1.156927,0.248478,0.908450,0.932431,0.505895
4,26,1.092425,0.146263,0.946162,0.948337,0.528527,1.144516,0.236298,0.908218,0.941309,0.504211
4,27,1.091044,0.145148,0.945896,0.948410,0.529524,1.143744,0.241429,0.902314,0.935571,0.556250
4,28,1.089667,0.143615,0.946052,0.949026,0.531106,1.138651,0.233478,0.905173,0.940053,0.525506
4,29,1.088302,0.142237,0.946065,0.948440,0.527267,1.140744,0.240086,0.900658,0.932317,0.577546
4,30,1.086299,0.140376,0.945923,0.948996,0.531473,1.138292,0.237593,0.900699,0.934458,0.573977
4,31,1.086175,0.140511,0.945664,0.949084,0.531941,1.142422,0.238880,0.903542,0.931090,0.537724
4,32,1.086099,0.140386,0.945713,0.948278,0.529143,1.141600,0.235124,0.906477,0.933545,0.514373
4,33,1.084426,0.138935,0.945491,0.949158,0.530652,1.134397,0.230173,0.904224,0.935914,0.529474
4,34,1.082725,0.137289,0.945435,0.949993,0.532747,1.141862,0.236608,0.905254,0.930975,0.521424
4,35,1.081421,0.135914,0.945507,0.950256,0.532967,1.135988,0.228655,0.907333,0.936799,0.507636
4,36,1.081455,0.136065,0.945390,0.949700,0.529231,1.125218,0.223405,0.901813,0.938483,0.555194
4,37,1.079824,0.134725,0.945099,0.950344,0.530755,1.132459,0.229800,0.902658,0.933402,0.546059
4,38,1.078297,0.133103,0.945194,0.950828,0.531531,1.133068,0.229734,0.903334,0.930804,0.545260
4,39,1.076816,0.131836,0.944981,0.951092,0.533407,1.123435,0.218547,0.904888,0.938883,0.523222
4,40,1.077614,0.132120,0.945494,0.951165,0.532821,1.124227,0.221037,0.903190,0.936513,0.542548
4,41,1.075532,0.130426,0.945106,0.950637,0.531282,1.128971,0.225555,0.903417,0.932146,0.540407
4,42,1.075603,0.130464,0.945140,0.951487,0.532806,1.119975,0.219133,0.900841,0.933630,0.570580
4,43,1.074523,0.129347,0.945176,0.950286,0.532996,1.119801,0.215959,0.903842,0.936485,0.537467
4,44,1.073618,0.128460,0.945158,0.951927,0.532469,1.120692,0.216704,0.903987,0.935257,0.530901
4,45,1.072763,0.127697,0.945066,0.951077,0.530007,1.113377,0.210873,0.902504,0.937570,0.545060
4,46,1.071829,0.126942,0.944887,0.950974,0.534286,1.115141,0.210210,0.904931,0.937855,0.527390
4,47,1.071683,0.127213,0.944471,0.950901,0.531663,1.113681,0.210078,0.903603,0.936314,0.535383
4,48,1.070776,0.125929,0.944847,0.951267,0.532440,1.107050,0.205055,0.901995,0.939397,0.549342
4,49,1.069702,0.124855,0.944846,0.951179,0.533040,1.118341,0.216254,0.902088,0.929605,0.546259
4,50,1.069300,0.124632,0.944668,0.951385,0.532630,1.117842,0.210630,0.907212,0.936171,0.508435
4,51,1.068450,0.123711,0.944739,0.951941,0.531810,1.107943,0.201985,0.905958,0.938626,0.515772
4,52,1.067831,0.123477,0.944354,0.951692,0.535985,1.110355,0.205166,0.905189,0.936656,0.523565
4,53,1.068008,0.123335,0.944673,0.951502,0.532527,1.110154,0.205413,0.904741,0.937912,0.530102
4,54,1.067127,0.122494,0.944632,0.951663,0.531766,1.102004,0.201216,0.900788,0.937170,0.559761
4,55,1.066811,0.122234,0.944577,0.952396,0.532996,1.109116,0.207309,0.901807,0.932745,0.544632
4,56,1.065115,0.120720,0.944395,0.952440,0.533538,1.099304,0.196389,0.902915,0.939511,0.537838
4,57,1.065302,0.120973,0.944329,0.952190,0.532513,1.103268,0.197324,0.905944,0.938683,0.520567
4,58,1.065486,0.121325,0.944161,0.952147,0.532762,1.106113,0.203218,0.902896,0.933630,0.536468
4,59,1.064998,0.120822,0.944176,0.951311,0.533260,1.095131,0.196158,0.898973,0.939397,0.582170
4,60,1.064468,0.120054,0.944414,0.952015,0.533890,1.105028,0.200339,0.904689,0.934458,0.524307
4,61,1.063248,0.119079,0.944169,0.952337,0.533817,1.099072,0.199345,0.899727,0.938426,0.565042
4,62,1.063383,0.119295,0.944088,0.952132,0.533392,1.099740,0.196663,0.903077,0.937798,0.534841
4,63,1.063636,0.119455,0.944180,0.952337,0.533685,1.101839,0.202389,0.899450,0.933373,0.564414
4,64,1.062854,0.118865,0.943989,0.952088,0.535092,1.098041,0.196452,0.901589,0.936456,0.546687
4,65,1.062651,0.118455,0.944196,0.952733,0.533275,1.102217,0.199855,0.902361,0.932517,0.536924
4,66,1.061290,0.117378,0.943912,0.953055,0.534095,1.097555,0.194798,0.902758,0.936713,0.536582
4,67,1.061443,0.117515,0.943929,0.952586,0.532777,1.097435,0.194009,0.903426,0.934173,0.538095
4,68,1.060167,0.116238,0.943928,0.953495,0.533626,1.098493,0.197916,0.900577,0.939454,0.550798
4,69,1.061099,0.117349,0.943750,0.952542,0.533304,1.095931,0.189929,0.906002,0.938883,0.515772
5,1,1.857808,0.879822,0.977985,0.680801,0.578749,1.371290,0.404469,0.966821,0.892866,0.473478
5,2,1.234481,0.265059,0.969421,0.930501,0.514489,1.248854,0.282505,0.966349,0.918735,0.465770
